location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20240101T0000,6.5302453,81.2849,15.94601,208.30075
20240101T0100,6.2402453,83.22755,15.683774,211.86598
20240101T0200,6.210245,84.7112,16.704155,217.11687
20240101T0300,6.170245,84.94641,16.363178,219.64418
20240101T0400,6.1602454,83.80913,16.323528,221.42366
20240101T0500,6.130245,84.10285,15.629971,218.4537
20240101T0600,6.020245,84.32747,15.9134655,217.64761
20240101T0700,6.040245,84.449776,15.192682,216.32683
20240101T0800,6.290245,82.822174,14.693999,210.96376
20240101T0900,6.8402452,81.61914,15.696165,216.60707
20240101T1000,7.4302454,78.20641,14.291592,220.91438
20240101T1100,8.080246,75.3871,16.323528,228.57634
20240101T1200,8.210245,75.784424,16.279802,234.90419
20240101T1300,8.190246,76.4252,14.57889,237.09476
20240101T1400,8.290245,75.05355,13.089354,238.49574
20240101T1500,8.080246,75.12102,9.504272,232.69606
20240101T1600,7.0102453,79.64705,7.928177,219.47246
20240101T1700,5.7202454,85.010635,7.342588,191.30994
20240101T1800,5.2602453,86.418076,7.92,180.0
20240101T1900,5.420245,85.39759,7.928178,182.60257
20240101T2000,5.110245,86.277504,8.64,180.0
20240101T2100,5.3102455,84.65669,8.647496,177.61406
20240101T2200,5.6002455,84.45306,10.086427,177.95459
20240101T2300,5.8302455,82.46372,10.538843,187.85332
20240102T0000,6.1602454,80.252014,12.371645,188.36589
20240102T0100,6.6402454,77.46423,15.192682,193.70695
20240102T0200,7.3502455,72.56643,17.309973,196.92752
20240102T0300,7.5702453,75.34709,19.721298,201.41296
20240102T0400,7.7202454,79.81503,22.057161,206.14685
20240102T0500,7.960245,82.068115,23.675304,208.12373
20240102T0600,8.350245,82.065636,24.162947,208.4742
20240102T0700,8.590245,81.8136,24.514387,209.95361
20240102T0800,8.820246,82.017204,24.863466,214.38034
20240102T0900,9.110246,81.716576,24.569836,219.05313
20240102T1000,9.270246,82.8227,22.392464,216.50143
20240102T1100,9.8102455,80.58039,23.710857,210.06859
20240102T1200,9.890245,80.59219,25.071098,212.09259
20240102T1300,9.820246,82.49687,24.850431,218.53018
