Source	Parsed link
https://google.com	https://drive.google.com/?tab=wo
https://google.com	https://news.google.com/?tab=wn
https://google.com	http://www.google.com.ua/history/optout?hl=uk
https://google.com	/advanced_search?hl=uk&authuser=0
https://google.com	/intl/uk/ads/
https://google.com	/preferences?hl=uk
https://google.com	https://mail.google.com/mail/?tab=wm
https://google.com	https://play.google.com/?hl=uk&tab=w8
https://google.com	http://www.google.com.ua/intl/uk/services/
https://google.com	https://www.youtube.com/?tab=w1
https://google.com	https://maps.google.com.ua/maps?hl=uk&tab=wl
https://google.com	https://accounts.google.com/ServiceLogin?hl=uk&passive=true&continue=https://www.google.com/&ec=GAZAAQ
https://google.com	/intl/uk/about.html
https://google.com	https://www.google.com/imghp?hl=uk&tab=wi
https://google.com	https://www.google.com.ua/intl/uk/about/products?tab=wh
https://google.com	https://www.google.com/setprefdomain?prefdom=UA&prev=https://www.google.com.ua/&sig=K_mGX3qULt44ARTbu55dKbdrcSnkw%3D
https://github.com	
https://github.com	/features/issues
https://github.com	/resources/articles
https://github.com	https://github.com/github/site-policy/pull/582
https://github.com	https://github.com/github
https://github.com	/solutions/use-case/devops
https://github.com	https://github.com/mobile
https://github.com	https://github.com/why-github
https://github.com	/features
https://github.com	/features/copilot
https://github.com	https://github.com/customer-stories
https://github.com	/about/diversity
https://github.com	https://github.com/customer-stories/mercedes-benz
https://github.com	https://github.com/security/advanced-security
https://github.com	/solutions/use-case/devsecops
https://github.com	https://github.blog/news-insights/research/survey-ai-wave-grows/
https://github.com	/enterprise
https://github.com	#footnote-1
https://github.com	https://github.com/features/discussions
https://github.com	/solutions/use-case/ci-cd
https://github.com	#footnote-ref-2
https://github.com	/team
https://github.com	https://docs.github.com/get-started/exploring-integrations/about-building-integrations
https://github.com	https://github.com/edu
https://github.com	https://github.com/trending
https://github.com	/customer-stories
https://github.com	/features/code-review
https://github.com	/security/advanced-security/secret-protection
https://github.com	https://github.com/topics
https://github.com	https://shop.github.com
https://github.com	/resources/articles/software-development
https://github.com	https://www.twitch.tv/github
https://github.com	https://github.com/enterprise/startups
https://github.com	/resources/articles/ai
https://github.com	https://cli.github.com
https://github.com	/
https://github.com	/solutions/industry/healthcare
https://github.com	/sponsors
https://github.com	/security/advanced-security/software-supply-chain
https://github.com	/premium-support
https://github.com	https://support.github.com?tags=dotcom-footer
https://github.com	/signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home
https://github.com	https://github.community
https://github.com	https://github.com/features
https://github.com	https://github.com/features/actions
https://github.com	#footnote-2
https://github.com	/solutions/industry
https://github.com	https://resources.github.com/devops/tools/compare
https://github.com	/security/advanced-security
https://github.com	https://github.com/features/issues
https://github.com	/git-guides
https://github.com	https://github.com/pricing
https://github.com	https://socialimpact.github.com
https://github.com	https://docs.github.com/site-policy/privacy-policies/github-privacy-statement
https://github.com	/solutions/industry/nonprofits
https://github.com	/features/copilot/copilot-business
https://github.com	/solutions/industry/manufacturing
https://github.com	https://github.blog
https://github.com	https://github.com/collections
https://github.com	https://github.com/features/code-search
https://github.com	https://github.com/github/roadmap
https://github.com	https://github.com/solutions/executive-insights
https://github.com	https://github.com/features/copilot
https://github.com	/resources/articles/security
https://github.com	/customer-stories?type=enterprise
https://github.com	/solutions/industry/financial-services
https://github.com	/features/actions
https://github.com	/newsroom
https://github.com	https://docs.github.com/en/code-security/code-scanning/managing-your-code-scanning-configuration/codeql-query-suites
https://github.com	https://www.linkedin.com/company/github
https://github.com	https://github.com/features/codespaces
https://github.com	/features/codespaces
https://github.com	https://resources.github.com/learn/pathways
https://github.com	https://github.careers
https://github.com	/resources/articles/devops
https://github.com	https://www.instagram.com/github
https://github.com	https://x.com/github
https://github.com	/solutions/industry/government
https://github.com	https://www.tiktok.com/@github
https://github.com	https://github.com/team
https://github.com	https://www.gartner.com/doc/reprints?id=1-2IKO4MPE&ct=240819&st=sb
https://github.com	https://github.com/customer-stories/figma
https://github.com	https://resources.github.com/newsletter/
https://github.com	https://github.com/enterprise
https://github.com	https://www.githubstatus.com
https://github.com	https://docs.github.com
https://github.com	/security
https://github.com	https://skills.github.com
https://github.com	https://services.github.com
https://github.com	https://www.youtube.com/github
https://github.com	https://partner.github.com
https://github.com	https://desktop.github.com
https://github.com	#hero
https://github.com	https://docs.github.com/site-policy/github-terms/github-terms-of-service
https://github.com	https://docs.github.com/search-github/github-code-search/understanding-github-code-search-syntax
https://github.com	/mobile
https://github.com	/solutions
https://github.com	#start-of-content
https://github.com	/login
https://github.com	/sitemap
https://github.com	https://github.com/resources/whitepapers
https://github.com	/solutions/use-case
https://github.com	/customer-stories/duolingo
https://github.com	https://github.com/customer-stories/mercado-libre
https://github.com	/pricing
https://github.com	/marketplace
https://github.com	https://github.com/features/code-review
https://github.com	/features/discussions
https://github.com	#footnote-ref-1
https://github.com	https://github.com/about
https://github.com	/readme
https://github.com	https://github.com/readme
https://github.com	https://resources.github.com
https://github.com	/enterprise/premium-support
https://wikipedia.org	//ar.wikipedia.org/
https://wikipedia.org	//gan.wikipedia.org/
https://wikipedia.org	//kw.wikipedia.org/
https://wikipedia.org	//szl.wikipedia.org/
https://wikipedia.org	//sah.wikipedia.org/
https://wikipedia.org	//av.wikipedia.org/
https://wikipedia.org	//mad.wikipedia.org/
https://wikipedia.org	//ps.wikipedia.org/
https://wikipedia.org	//mk.wikipedia.org/
https://wikipedia.org	//os.wikipedia.org/
https://wikipedia.org	//sat.wikipedia.org/
https://wikipedia.org	//gu.wikipedia.org/
https://wikipedia.org	//trv.wikipedia.org/
https://wikipedia.org	//mn.wikipedia.org/
https://wikipedia.org	//lmo.wikipedia.org/
https://wikipedia.org	//nap.wikipedia.org/
https://wikipedia.org	//bdr.wikipedia.org/
https://wikipedia.org	//xmf.wikipedia.org/
https://wikipedia.org	//nah.wikipedia.org/
https://wikipedia.org	//udm.wikipedia.org/
https://wikipedia.org	//dsb.wikipedia.org/
https://wikipedia.org	//bo.wikipedia.org/
https://wikipedia.org	//sr.wikipedia.org/
https://wikipedia.org	//gpe.wikipedia.org/
https://wikipedia.org	//ks.wikipedia.org/
https://wikipedia.org	//ik.wikipedia.org/
https://wikipedia.org	//bm.wikipedia.org/
https://wikipedia.org	//iu.wikipedia.org/
https://wikipedia.org	//cu.wikipedia.org/
https://wikipedia.org	//az.wikipedia.org/
https://wikipedia.org	//lb.wikipedia.org/
https://wikipedia.org	//eo.wikipedia.org/
https://wikipedia.org	//nr.wikipedia.org/
https://wikipedia.org	//vo.wikipedia.org/
https://wikipedia.org	//gur.wikipedia.org/
https://wikipedia.org	//fon.wikipedia.org/
https://wikipedia.org	//en.wikipedia.org/
https://wikipedia.org	//ilo.wikipedia.org/
https://wikipedia.org	//et.wikipedia.org/
https://wikipedia.org	//yi.wikipedia.org/
https://wikipedia.org	//eu.wikipedia.org/
https://wikipedia.org	//roa-tara.wikipedia.org/
https://wikipedia.org	//nrm.wikipedia.org/
https://wikipedia.org	//gom.wikipedia.org/
https://wikipedia.org	//ro.wikipedia.org/
https://wikipedia.org	//gl.wikipedia.org/
https://wikipedia.org	//srn.wikipedia.org/
https://wikipedia.org	//bar.wikipedia.org/
https://wikipedia.org	//xh.wikipedia.org/
https://wikipedia.org	//za.wikipedia.org/
https://wikipedia.org	//sh.wikipedia.org/
https://wikipedia.org	//tr.wikipedia.org/
https://wikipedia.org	//cv.wikipedia.org/
https://wikipedia.org	//lld.wikipedia.org/
https://wikipedia.org	//hif.wikipedia.org/
https://wikipedia.org	//ckb.wikipedia.org/
https://wikipedia.org	//cy.wikipedia.org/
https://wikipedia.org	//bs.wikipedia.org/
https://wikipedia.org	//zu.wikipedia.org/
https://wikipedia.org	//ay.wikipedia.org/
https://wikipedia.org	//kus.wikipedia.org/
https://wikipedia.org	//my.wikipedia.org/
https://wikipedia.org	//knc.wikipedia.org/
https://wikipedia.org	//mg.wikipedia.org/
https://wikipedia.org	//inh.wikipedia.org/
https://wikipedia.org	//arz.wikipedia.org/
https://wikipedia.org	//ast.wikipedia.org/
https://wikipedia.org	//nl.wikipedia.org/
https://wikipedia.org	//so.wikipedia.org/
https://wikipedia.org	//pt.wikipedia.org/
https://wikipedia.org	//am.wikipedia.org/
https://wikipedia.org	//pl.wikipedia.org/
https://wikipedia.org	//nn.wikipedia.org/
https://wikipedia.org	//mhr.wikipedia.org/
https://wikipedia.org	//wo.wikipedia.org/
https://wikipedia.org	//zh.wikipedia.org/
https://wikipedia.org	//ceb.wikipedia.org/
https://wikipedia.org	//ann.wikipedia.org/
https://wikipedia.org	//su.wikipedia.org/
https://wikipedia.org	//bn.wikipedia.org/
https://wikipedia.org	//lo.wikipedia.org/
https://wikipedia.org	//tdd.wikipedia.org/
https://wikipedia.org	//ny.wikipedia.org/
https://wikipedia.org	//tt.wikipedia.org/
